ContractID,Date,Open,Low,High,Close,Volume,Average
11900,2018-09-20,0.63,0.61,0.7,0.65,123,0.6578
11900,2018-09-21,0.65,0.65,0.67,0.67,101,0.6698
11900,2018-09-22,0.67,0.6,0.67,0.6,32,0.6078
11900,2018-09-23,0.6,0.56,0.64,0.64,74,0.5945
11900,2018-09-24,0.64,0.64,0.64,0.64,0,0
11900,2018-09-25,0.64,0.62,0.69,0.62,137,0.638
11900,2018-09-26,0.62,0.56,0.64,0.64,1075,0.5895
11900,2018-09-27,0.64,0.64,0.64,0.64,0,0
11900,2018-09-28,0.64,0.64,0.65,0.65,22,0.65
11900,2018-09-29,0.65,0.62,0.68,0.68,54,0.657
11900,2018-09-30,0.68,0.66,0.69,0.66,6,0.665
11900,2018-10-01,0.66,0.56,0.74,0.74,1101,0.6207
11900,2018-10-02,0.74,0.73,0.74,0.73,86,0.73
11900,2018-10-03,0.73,0.66,0.73,0.71,145,0.67
11900,2018-10-04,0.71,0.6,0.73,0.6,1040,0.6314
11900,2018-10-05,0.6,0.5,0.67,0.65,992,0.5212
11900,2018-10-06,0.65,0.65,0.8,0.77,930,0.7423
11900,2018-10-07,0.77,0.73,0.84,0.73,42,0.7871
11900,2018-10-08,0.73,0.73,0.82,0.82,383,0.7981
11900,2018-10-09,0.82,0.76,0.83,0.76,172,0.8074
11900,2018-10-10,0.76,0.76,0.81,0.81,793,0.8095
11900,2018-10-11,0.81,0.74,0.81,0.79,1395,0.7866
11900,2018-10-12,0.79,0.71,0.83,0.74,753,0.7864
11900,2018-10-13,0.74,0.74,0.83,0.83,355,0.8291
11900,2018-10-14,0.83,0.77,0.83,0.77,75,0.7741
11900,2018-10-15,0.77,0.77,0.78,0.77,501,0.78
11900,2018-10-16,0.77,0.67,0.8,0.69,986,0.7404
11900,2018-10-17,0.69,0.66,0.74,0.66,77,0.6873
11900,2018-10-18,0.66,0.66,0.68,0.66,173,0.6797
11900,2018-10-19,0.66,0.66,0.72,0.72,69,0.7186
11900,2018-10-20,0.72,0.68,0.72,0.68,8,0.6838
11900,2018-10-21,0.68,0.65,0.71,0.7,129,0.6715
