ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412671,0.7485959714825241,0.23527426166327772,Sasse,Republican,moderate Republican follower,15,86,56,90,senate
412508,0.8786867620679865,0.24328879763765804,Cotton,Republican,lonley conservative Republican follower,30,230,52,105,senate
412667,0.8084161451153559,0.3980032718716333,Ernst,Republican,rank-and-file Republican,34,225,74,202,senate
412406,0.745107880583903,0.319421300592202,Gardner,Republican,rank-and-file Republican,53,272,65,153,senate
412665,0.7228906556293551,0.2827903395328359,Sullivan,Republican,rank-and-file Republican,37,204,66,157,senate
412681,0.26917501554249723,0.1370479519442188,Cortez Masto,Democrat,moderate Democratic follower,23,341,52,96,senate
412533,0.26779023779532735,0.281313980952858,Duckworth,Democrat,moderate Democratic follower,55,411,78,260,senate
412678,0.18016778891030505,0.30356884398630407,Harris,Democrat,moderate Democratic follower,52,396,65,363,senate
412680,0.26400509300281394,0.05199559452570543,Hassan,Democrat,moderate Democratic follower,16,475,25,37,senate
412741,0.4797962420816092,0.08976425888229879,Jones,Democrat,centrist Democratic follower,11,188,43,51,senate
412742,0.24851845889712226,0.12787944081105806,Smith,Democrat,moderate Democratic follower,26,274,46,108,senate
400415,0.22079226382909278,0.16300902354837865,Van Hollen,Democrat,moderate Democratic follower,21,470,58,110,senate
412743,0.6175764116705373,0,Hyde-Smith,Republican,centrist Republican follower,4,72,6,8,senate
412679,0.6867512976452176,0.18044603637667303,Kennedy,Republican,centrist Republican follower,28,209,62,98,senate
412428,0.6338800923805205,0.271529027168069,Young,Republican,centrist Republican,42,218,85,205,senate
412734,0.6785920074902544,0.0032765714889333524,Strange,Republican,centrist Republican follower,4,87,7,7,senate
300062,0.48615323926511195,0.0014272768248502336,Kyl,Republican,centrist Republican follower,3,7,4,4,senate
