ContractID,LongName,Date,Open,Low,High,Close,Volume
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-12,0.92,0.81,0.92,0.84,2144
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-13,0.84,0.84,0.95,0.95,3200
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-14,0.95,0.89,0.95,0.89,1481
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-15,0.89,0.89,0.99,0.99,16793
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-16,0.99,0.91,0.99,0.98,2980
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-17,0.98,0.94,0.99,0.96,2081
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-18,0.96,0.96,0.99,0.98,1244
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-19,0.98,0.98,0.99,0.99,1102
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-20,0.99,0.99,0.99,0.99,401
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-21,0.99,0.98,0.99,0.98,681
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-22,0.98,0.98,0.99,0.98,321
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-23,0.98,0.98,0.99,0.98,311
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-24,0.98,0.98,0.99,0.99,193
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-25,0.99,0.99,0.99,0.99,75
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-26,0.99,0.97,0.99,0.98,702
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-27,0.98,0.94,0.99,0.94,686
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-28,0.94,0.94,0.99,0.98,479
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-29,0.98,0.97,0.99,0.97,2056
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-30,0.97,0.86,0.99,0.94,7845
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-01,0.94,0.94,0.99,0.98,1828
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-02,0.98,0.97,0.98,0.97,945
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-03,0.97,0.95,0.97,0.97,672
12819,Will a Dem candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-04,0.97,0.96,0.99,0.99,617
