forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-09-16,US,D,deluxe,0.3154,49.17,49,46,52,22.29,17.93,26.66
2018-09-16,US,R,deluxe,0.6846,50.83,51,48,54,-22.29,-17.93,-26.66
2018-09-17,US,D,deluxe,0.3122,49.12,49,46,52,22.23,17.88,26.61
2018-09-17,US,R,deluxe,0.6878,50.88,51,48,54,-22.23,-17.88,-26.61
2018-09-18,US,D,deluxe,0.2946,49.03,49,46,52,22.08,17.72,26.43
2018-09-18,US,R,deluxe,0.7054,50.97,51,48,54,-22.08,-17.72,-26.43
2018-09-19,US,D,deluxe,0.2977,49.03,49,46,52,22.12,17.79,26.43
2018-09-19,US,R,deluxe,0.7023,50.97,51,48,54,-22.12,-17.79,-26.43
2018-09-20,US,D,deluxe,0.3021,49.06,49,46,52,22.16,17.83,26.46
2018-09-20,US,R,deluxe,0.6979,50.94,51,48,54,-22.16,-17.83,-26.46
2018-09-21,US,D,deluxe,0.3087,49.09,49,46,52,22.22,17.88,26.47
2018-09-21,US,R,deluxe,0.6913,50.91,51,48,54,-22.22,-17.88,-26.47
2018-09-22,US,D,deluxe,0.3128,49.12,49,46,52,22.22,17.93,26.56
2018-09-22,US,R,deluxe,0.6872,50.88,51,48,54,-22.22,-17.93,-26.56
2018-09-23,US,D,deluxe,0.306,49.07,49,46,52,22.17,17.84,26.44
2018-09-23,US,R,deluxe,0.694,50.93,51,48,54,-22.17,-17.84,-26.44
2018-09-24,US,D,deluxe,0.2998,49.04,49,46,52,22.11,17.77,26.41
2018-09-24,US,R,deluxe,0.7002,50.96,51,48,54,-22.11,-17.77,-26.41
2018-09-25,US,D,deluxe,0.3033,49.05,49,46,52,22.06,17.76,26.31
2018-09-25,US,R,deluxe,0.6967,50.95,51,48,54,-22.06,-17.76,-26.31
2018-09-26,US,D,deluxe,0.3103,49.11,49,46,52,22.15,17.89,26.43
2018-09-26,US,R,deluxe,0.6897,50.89,51,48,54,-22.15,-17.89,-26.43
2018-09-27,US,D,deluxe,0.3083,49.12,49,46,52,22.2,17.94,26.46
2018-09-27,US,R,deluxe,0.6917,50.88,51,48,54,-22.2,-17.94,-26.46
2018-09-28,US,D,deluxe,0.302,49.05,49,46,52,22.13,17.88,26.38
2018-09-28,US,R,deluxe,0.698,50.95,51,48,54,-22.13,-17.88,-26.38
2018-09-29,US,D,deluxe,0.3012,49.06,49,46,52,22.11,17.9,26.31
2018-09-29,US,R,deluxe,0.6988,50.94,51,48,54,-22.11,-17.9,-26.31
2018-09-30,US,D,deluxe,0.3039,49.07,49,46,52,22.15,17.91,26.37
2018-09-30,US,R,deluxe,0.6961,50.93,51,48,54,-22.15,-17.91,-26.37
2018-10-01,US,D,deluxe,0.2636,48.8,49,46,52,21.78,17.55,25.98
2018-10-01,US,R,deluxe,0.7364,51.2,51,48,54,-21.78,-17.55,-25.98
2018-10-02,US,D,deluxe,0.2733,48.86,49,46,52,21.83,17.63,26.07
2018-10-02,US,R,deluxe,0.7267,51.14,51,48,54,-21.83,-17.63,-26.07
2018-10-03,US,D,deluxe,0.23,48.59,49,45,52,21.57,17.36,25.72
2018-10-03,US,R,deluxe,0.77,51.41,51,48,55,-21.57,-17.36,-25.72
2018-10-04,US,D,deluxe,0.2131,48.43,49,45,52,21.34,17.13,25.54
2018-10-04,US,R,deluxe,0.7869,51.57,51,48,55,-21.34,-17.13,-25.54
2018-10-05,US,D,deluxe,0.2149,48.46,49,45,52,21.37,17.2,25.5
2018-10-05,US,R,deluxe,0.7851,51.54,51,48,55,-21.37,-17.2,-25.5
2018-10-06,US,D,deluxe,0.2129,48.45,49,45,52,21.36,17.19,25.52
2018-10-06,US,R,deluxe,0.7871,51.55,51,48,55,-21.36,-17.19,-25.52
2018-10-07,US,D,deluxe,0.2117,48.45,49,45,52,21.37,17.24,25.49
2018-10-07,US,R,deluxe,0.7883,51.55,51,48,55,-21.37,-17.24,-25.49
2018-10-08,US,D,deluxe,0.2028,48.4,49,45,51,21.32,17.19,25.47
2018-10-08,US,R,deluxe,0.7972,51.6,51,49,55,-21.32,-17.19,-25.47
2018-10-09,US,D,deluxe,0.2035,48.46,49,45,51,21.53,17.43,25.66
2018-10-09,US,R,deluxe,0.7965,51.54,51,49,55,-21.53,-17.43,-25.66
2018-10-10,US,D,deluxe,0.1964,48.43,49,45,51,21.54,17.44,25.66
2018-10-10,US,R,deluxe,0.8036,51.57,51,49,55,-21.54,-17.44,-25.66
2018-10-11,US,D,deluxe,0.1862,48.37,48,45,51,21.55,17.43,25.71
2018-10-11,US,R,deluxe,0.8138,51.63,52,49,55,-21.55,-17.43,-25.71
2018-10-12,US,D,deluxe,0.1873,48.38,49,45,51,21.55,17.51,25.59
2018-10-12,US,R,deluxe,0.8127,51.62,51,49,55,-21.55,-17.51,-25.59
2018-10-13,US,D,deluxe,0.1893,48.38,49,45,51,21.56,17.49,25.61
2018-10-13,US,R,deluxe,0.8107,51.62,51,49,55,-21.56,-17.49,-25.61
2018-10-14,US,D,deluxe,0.2019,48.49,49,45,51,21.66,17.55,25.69
2018-10-14,US,R,deluxe,0.7981,51.51,51,49,55,-21.66,-17.55,-25.69
2018-10-15,US,D,deluxe,0.2012,48.45,49,45,51,21.48,17.46,25.54
2018-10-15,US,R,deluxe,0.7988,51.55,51,49,55,-21.48,-17.46,-25.54
