ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412652,0.3612857355043937,0.33504276206992445,Boyle,Democrat,rank-and-file Democrat,26,463,145,233,house
412651,0.6308964112835674,0.2783381799944889,Costello,Republican,centrist Republican follower,11,336,50,56,house
412672,0.5954322558130607,0.32492216162788473,Donovan,Republican,centrist Republican follower,25,388,99,137,house
412633,0.7175956121427263,0.2906388232138801,Poliquin,Republican,moderate Republican follower,19,276,32,35,house
412664,0.564527295907554,0.02786839589159981,Amata,Republican,centrist Republican follower,11,189,7,13,house
412646,0.6923298951512034,0.6454016860108637,Zeldin,Republican,rank-and-file Republican,31,286,242,469,house
412621,0.6668943339903571,0.7099889345428033,Curbelo,Republican,centrist Republican,25,378,173,310,house
412654,0.6463309594362682,0.4405459825376139,Hurd,Republican,centrist Republican,13,166,147,195,house
412629,0.7232483784767169,0.40101295402377723,Bost,Republican,rank-and-file Republican,11,236,117,161,house
412634,0.7384843115758494,0.11549459236932035,Moolenaar,Republican,moderate Republican follower,5,192,14,26,house
412618,0.6791744951163337,0.31910293566379555,Walters,Republican,moderate Republican follower,9,152,35,39,house
412675,0.6489896204765467,0.45052424093102356,Davidson,Republican,centrist Republican,15,119,131,168,house
412661,0.8800555299396006,0.3623061307631167,Grothman,Republican,conservative Republican,23,321,104,155,house
412674,0.6830750595894345,0.4611798435513452,LaHood,Republican,rank-and-file Republican,20,170,168,287,house
412670,0.7468384115232932,0.5481086012964461,Walker,Republican,rank-and-file Republican,13,162,141,200,house
412653,0.8005832051330071,0.5982783400823362,Ratcliffe,Republican,rank-and-file Republican,17,205,121,193,house
412619,0.7287754913444309,0.3365508517172634,Buck,Republican,rank-and-file Republican,33,144,56,70,house
412636,0.7016990147433549,0.37040501561617334,Trott,Republican,rank-and-file Republican,13,152,142,157,house
412631,0.6622461118594211,0.4775163167078674,Graves [LA6],Republican,centrist Republican,14,97,140,204,house
