ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115
412418,0.32608667679909753,0.31702172325068,Hanabusa,Democrat,moderate Democratic follower,13,473,127,219
400142,0.6255222425784025,0.14959206399834699,Frelinghuysen,Republican,centrist Republican follower ,18,104,17,17
400189,0.3670297736313559,0.3665149086020526,Hoyer,Democrat,rank-and-file Democrat,9,100,93,139
400314,0.3842767577860578,0.03848132230556576,Pelosi,Democrat,moderate Democratic follower,1,61,0,0
412190,0.5275257044073847,0.6745131078372775,McCarthy,Republican,centrist Republican,20,22,350,490
412261,0.7354530658998666,0.6872284004812431,Scalise,Republican,rank-and-file Republican,8,54,144,193
400021,0.3860127813605035,0.2833525359389011,Becerra,Democrat,centrist Democratic follower,0,2,0,0
412270,0.7196984414612391,0.7706217363475635,Chaffetz,Republican,moderate Republican leader,20,52,367,451
412217,0.7487555795072871,0.6274593633946451,Smith [NE3],Republican,rank-and-file Republican,13,112,148,212
400351,0.5810049865855055,0.226177553897296,Ryan [WI1],Republican,centrist Republican follower ,2,3,10,10
412607,0.30260548173967394,0.46928119861542994,Adams,Democrat,rank-and-file Democrat,23,331,175,468
412605,0.8332923098711228,0.5439021709328626,Brat,Republican,rank-and-file Republican,28,236,191,266
412630,0.855856974756022,0.420779090899242,Abraham,Republican,rank-and-file Republican,9,255,105,122
412637,0.2836282040704873,0.3650662339702628,Dingell,Democrat,rank-and-file Democrat,25,530,173,289
412617,0.33665739981803905,0.29410018456489617,Torres,Democrat,moderate Democratic follower,33,357,117,211
412635,0.8327052096041819,0.7279023958105217,Bishop [MI8],Republican,rank-and-file Republican,24,324,343,641
412622,0.8353170094533526,0.5881341067285831,Carter [GA1],Republican,rank-and-file Republican,20,233,217,414
412625,0.8570366556259514,0.29131637020641793,Allen,Republican,moderate Republican follower,5,230,32,35
412663,0.6901295768687917,0.40399037303572,Jenkins [WV3],Republican,rank-and-file Republican,12,180,106,148
412673,0.7339686404681087,0.19732742029807035,Kelly [MS1],Republican,moderate Republican follower,9,163,67,75
412641,0.8947125362441296,0.3377427040210987,Rouzer,Republican,conservative Republican,11,265,36,46
412610,0.8278433731467982,0.32860667464471865,Westerman,Republican,moderate Republican follower,11,202,101,129
412615,0.33996899497116995,0.260266255885531,Aguilar,Democrat,moderate Democratic follower,11,330,91,118
412638,0.28032683141842013,0.4228443636639246,Lawrence,Democrat,rank-and-file Democrat,25,364,173,425
412644,0.17114372494459776,0.41161095609993825,Watson Coleman,Democrat,progressive Democrat,22,578,155,375
412612,0.29578925773152354,0.32629854407074915,Gallego,Democrat,rank-and-file Democrat,12,485,137,157
412611,0.6887816374831786,0.7815121562849107,McSally,Republican,moderate Republican leader,28,165,340,640
412639,0.7870483035120954,0.4032762629741734,Emmer,Republican,rank-and-file Republican,25,214,76,110
412609,0.7538141632670272,0.3285588664696318,Hill,Republican,moderate Republican follower,18,172,108,142
412649,0.6066814765619349,0.5790991189449346,Katko,Republican,centrist Republican,30,323,230,445
412616,0.2631852673721187,0.6174721713848265,Lieu,Democrat,rank-and-file Democrat,36,590,239,818
412656,0.6937269539133007,0.378185557161834,Love,Republican,rank-and-file Republican,22,212,76,100
412643,0.6161351852131595,0.4790138800979344,MacArthur,Republican,centrist Republican,25,300,139,206
412662,0.7986589439143982,0.5814706464084423,Mooney,Republican,rank-and-file Republican,16,281,157,169
412606,0.35530755220786764,0.14049983921322284,Norcross,Democrat,moderate Democratic follower,11,393,38,42
412647,0.3719350146186852,0.2766258963475351,Rice [NY4],Democrat,moderate Democratic follower,23,424,93,133
412648,0.6670575725886118,0.6945555019503712,Stefanik,Republican,centrist Republican,26,448,331,809
412628,0.7596668887803879,0.47254312826422284,Young [IA3],Republican,rank-and-file Republican,19,290,152,196
412640,0.7361195069899898,0.48996147352166614,Zinke,Republican,rank-and-file Republican,0,2,0,0
412658,0.6904748160219147,0.5915405517026441,Comstock,Republican,rank-and-file Republican,25,410,296,456
412614,0.6803381269866247,0.4429691404637921,Knight,Republican,rank-and-file Republican,30,244,161,245
412613,0.20388316196323006,0.38540584491355473,DeSaulnier,Democrat,progressive Democrat,26,614,146,242
412632,0.36043003890963216,0.6305847967082622,Moulton,Democrat,moderate Democratic leader,19,599,207,343
412660,0.7896027828032773,0.5280006102176338,Newhouse,Republican,rank-and-file Republican,27,213,192,293
412659,0.34771753731808996,0.270951754988416,Plaskett,Democrat,moderate Democratic follower,16,168,62,83
412624,0.8029377753361101,0.44000529900397467,Loudermilk,Republican,rank-and-file Republican,13,193,119,186
412657,0.28434853265707627,0.575766361854931,Beyer,Democrat,rank-and-file Democrat,17,423,185,792
412655,0.9310168483403579,0.6334921866900403,Babin,Republican,conservative Republican,22,304,167,363
412627,0.7552211824721285,0.2092553502785621,Blum,Republican,moderate Republican follower,13,157,37,45
412623,0.8634505759310129,0.5424242459223386,Hice,Republican,conservative Republican,16,283,120,188
412608,0.7022427901090951,0.6548508783338862,Palmer,Republican,rank-and-file Republican,9,92,186,319
412652,0.3612857355043937,0.33504276206992445,Boyle,Democrat,rank-and-file Democrat,26,463,145,233
412651,0.6308964112835674,0.2783381799944889,Costello,Republican,centrist Republican follower ,11,336,50,56
412672,0.5954322558130607,0.32492216162788473,Donovan,Republican,centrist Republican follower ,25,388,99,137
412633,0.7175956121427263,0.2906388232138801,Poliquin,Republican,moderate Republican follower,19,276,32,35
412664,0.564527295907554,0.02786839589159981,Amata,Republican,centrist Republican follower ,11,189,7,13
412646,0.6923298951512034,0.6454016860108637,Zeldin,Republican,rank-and-file Republican,31,286,242,469
412621,0.6668943339903571,0.7099889345428033,Curbelo,Republican,centrist Republican,25,378,173,310
412654,0.6463309594362682,0.4405459825376139,Hurd,Republican,centrist Republican,13,166,147,195
412629,0.7232483784767169,0.40101295402377723,Bost,Republican,rank-and-file Republican,11,236,117,161
412634,0.7384843115758494,0.11549459236932035,Moolenaar,Republican,moderate Republican follower,5,192,14,26
412618,0.6791744951163337,0.31910293566379555,Walters,Republican,moderate Republican follower,9,152,35,39
412675,0.6489896204765467,0.45052424093102356,Davidson,Republican,centrist Republican,15,119,131,168
412661,0.8800555299396006,0.3623061307631167,Grothman,Republican,conservative Republican,23,321,104,155
412674,0.6830750595894345,0.4611798435513452,LaHood,Republican,rank-and-file Republican,20,170,168,287
412670,0.7468384115232932,0.5481086012964461,Walker,Republican,rank-and-file Republican,13,162,141,200
412653,0.8005832051330071,0.5982783400823362,Ratcliffe,Republican,rank-and-file Republican,17,205,121,193
412619,0.7287754913444309,0.3365508517172634,Buck,Republican,rank-and-file Republican,33,144,56,70
412636,0.7016990147433549,0.37040501561617334,Trott,Republican,rank-and-file Republican,13,152,142,157
412631,0.6622461118594211,0.4775163167078674,Graves [LA6],Republican,centrist Republican,14,97,140,204
412650,0.7021289805594078,0.41524532816772275,Russell,Republican,rank-and-file Republican,22,154,85,106
412677,0.2729477193357234,0.01797698262226688,Evans,Democrat,moderate Democratic follower,9,622,9,9
