date,race,close,prob
2018-08-06,NY-09,0.98,1
2018-08-06,NY-14,0.95,1
2018-08-06,NY-19,0.64,0.5402
2018-08-06,OH-S1,0.88,0.9498
2018-08-06,PA-06,0.96,0.9805
2018-08-06,PA-09,0.03,0.0084
2018-08-06,PA-15,0.14,1e-4
2018-08-06,PA-17,0.88,0.9724
2018-08-06,PA-S1,0.92,0.9515
2018-08-06,PA-S1,0.91,0.9515
2018-08-06,SC-04,0.02,4e-4
2018-08-06,TN-S1,0.48,0.3624
2018-08-06,TX-05,0.1,8e-4
2018-08-06,TX-06,0.15,0.0704
2018-08-06,TX-21,0.21,0.1618
2018-08-06,TX-23,0.7,0.7255
2018-08-06,TX-29,0.96,0.9999
2018-08-06,TX-S1,0.28,0.256
2018-08-06,VA-02,0.7,0.2227
2018-08-06,VA-06,0.1,0.0041
2018-08-06,VA-10,0.81,0.7513
2018-08-06,VA-S1,0.95,0.9922
2018-08-06,VT-S1,0.95,0.9999
2018-08-06,WA-08,0.48,0.4992
2018-08-06,WI-01,0.48,0.2622
2018-08-06,WI-S1,0.83,0.9776
2018-08-06,WV-03,0.7,0.0637
2018-08-06,WV-S1,0.74,0.8766
2018-08-07,AZ-S1,0.65,0.7285
2018-08-07,CA-10,0.64,0.688
2018-08-07,CA-12,0.94,1
2018-08-07,CA-22,0.29000000000000004,0.0406
2018-08-07,CA-25,0.64,0.7376
2018-08-07,CA-39,0.58,0.4663
2018-08-07,CA-48,0.72,0.6541
2018-08-07,CA-49,0.77,0.8019
2018-08-07,CA-S1,0.9,1
2018-08-07,CO-05,0.06999999999999995,0.0243
2018-08-07,CO-06,0.5700000000000001,0.6363
2018-08-07,CT-05,0.96,0.9671
2018-08-07,FL-15,0.23,0.2549
2018-08-07,FL-17,0.1,0.0035
2018-08-07,FL-26,0.56,0.3862
2018-08-07,FL-27,0.94,0.9724
2018-08-07,FL-S1,0.52,0.6116
2018-08-07,IL-12,0.42,0.3813
2018-08-07,IN-S1,0.38,0.8615
2018-08-07,MA-S1,0.94,0.9988
2018-08-07,MD-06,0.93,0.9897
2018-08-07,ME-S1,0.030000000000000027,0
2018-08-07,MI-08,0.55,0.4187
2018-08-07,MI-11,0.64,0.6709
2018-08-07,MI-S1,0.8,0.986
2018-08-07,MN-01,0.5,0.4807
2018-08-07,MN-02,0.91,0.7545
2018-08-07,MN-03,0.54,0.6419
2018-08-07,MN-08,0.51,0.3758
2018-08-07,MN-S1,0.81,0.998
2018-08-07,MO-S1,0.52,0.6884
2018-08-07,MS-03,0.12,0.0061
2018-08-07,MS-S2,0.12,0.1363
2018-08-07,MT-S1,0.66,0.8929
2018-08-07,NC-09,0.82,0.5895
2018-08-07,NC-13,0.55,0.384
2018-08-07,ND-S1,0.42,0.592
2018-08-07,NE-02,0.5,0.5747
2018-08-07,NE-S1,0.08999999999999997,0.0439
2018-08-07,NH-01,0.82,0.805
2018-08-07,NJ-02,0.94,0.8889
2018-08-07,NJ-07,0.64,0.6192
2018-08-07,NJ-11,0.79,0.7216
2018-08-07,NJ-S1,0.78,0.9431
2018-08-07,NM-S1,0.91,0.9674
2018-08-07,NV-03,0.89,0.6802
2018-08-07,NV-04,0.89,0.8414
2018-08-07,NV-S1,0.62,0.5374
2018-08-07,NY-01,0.36,0.1088
2018-08-07,NY-09,0.98,1
2018-08-07,NY-14,0.95,1
2018-08-07,NY-19,0.64,0.5352
2018-08-07,OH-S1,0.83,0.95
2018-08-07,PA-06,0.96,0.9803
2018-08-07,PA-09,0.03,0.0084
2018-08-07,PA-15,0.14,0
2018-08-07,PA-17,0.94,0.9725
2018-08-07,PA-S1,0.92,0.9521
2018-08-07,PA-S1,0.91,0.9521
2018-08-07,SC-04,0.02,2e-4
2018-08-07,TN-S1,0.45,0.3615
2018-08-07,TX-05,0.1,0.0011
2018-08-07,TX-06,0.15,0.0707
2018-08-07,TX-21,0.27,0.1563
2018-08-07,TX-23,0.74,0.722
2018-08-07,TX-29,0.96,1
2018-08-07,TX-S1,0.24,0.2586
2018-08-07,VA-02,0.7,0.2215
2018-08-07,VA-06,0.1,0.004
2018-08-07,VA-10,0.81,0.7451
2018-08-07,VA-S1,0.95,0.9926
2018-08-07,VT-S1,0.95,0.9999
2018-08-07,WA-08,0.58,0.4918
2018-08-07,WI-01,0.48,0.2602
2018-08-07,WI-S1,0.82,0.9787
2018-08-07,WV-03,0.7,0.0618
2018-08-07,WV-S1,0.75,0.8583
2018-08-08,AZ-S1,0.61,0.724
2018-08-08,CA-10,0.64,0.684
2018-08-08,CA-12,0.94,1
2018-08-08,CA-22,0.32999999999999996,0.0398
2018-08-08,CA-25,0.64,0.7321
2018-08-08,CA-39,0.58,0.4596
2018-08-08,CA-48,0.68,0.6471
2018-08-08,CA-49,0.76,0.7961
2018-08-08,CA-S1,0.95,1
2018-08-08,CO-05,0.06000000000000005,0.0218
2018-08-08,CO-06,0.6,0.6304
2018-08-08,CT-05,0.96,0.9642
2018-08-08,FL-15,0.33,0.2511
2018-08-08,FL-17,0.1,0.0031
2018-08-08,FL-26,0.56,0.3811
2018-08-08,FL-27,0.94,0.9711
2018-08-08,FL-S1,0.5,0.607
2018-08-08,IL-12,0.42,0.3772
2018-08-08,IN-S1,0.38,0.8577
2018-08-08,MA-S1,0.97,0.9986
2018-08-08,MD-06,0.93,0.9896
2018-08-08,ME-S1,0.030000000000000027,0
2018-08-08,MI-08,0.55,0.4131
2018-08-08,MI-11,0.64,0.6611
2018-08-08,MI-S1,0.77,0.9854
2018-08-08,MN-01,0.5,0.4654
2018-08-08,MN-02,0.84,0.7458
2018-08-08,MN-03,0.55,0.6349
2018-08-08,MN-08,0.55,0.3718
2018-08-08,MN-S1,0.81,0.9983
2018-08-08,MO-S1,0.52,0.6787
2018-08-08,MS-03,0.12,0.0057
2018-08-08,MS-S2,0.13,0.1345
2018-08-08,MT-S1,0.64,0.8903
2018-08-08,NC-09,0.75,0.5829
2018-08-08,NC-13,0.55,0.3781
2018-08-08,ND-S1,0.43,0.5823
2018-08-08,NE-02,0.44999999999999996,0.5667
2018-08-08,NE-S1,0.08999999999999997,0.0407
2018-08-08,NH-01,0.82,0.7958
2018-08-08,NJ-02,0.94,0.8803
2018-08-08,NJ-07,0.64,0.6125
2018-08-08,NJ-11,0.79,0.712
2018-08-08,NJ-S1,0.79,0.9429
2018-08-08,NM-S1,0.91,0.9674
2018-08-08,NV-03,0.89,0.6715
2018-08-08,NV-04,0.89,0.8387
2018-08-08,NV-S1,0.63,0.5316
2018-08-08,NY-01,0.3,0.1055
2018-08-08,NY-09,0.98,1
2018-08-08,NY-14,0.95,1
2018-08-08,NY-19,0.63,0.5296
2018-08-08,OH-S1,0.82,0.9484
2018-08-08,PA-06,0.96,0.9785
2018-08-08,PA-09,0.03,0.0079
2018-08-08,PA-15,0.14,0
2018-08-08,PA-17,0.94,0.9698
2018-08-08,PA-S1,0.92,0.9482
2018-08-08,PA-S1,0.93,0.9482
2018-08-08,SC-04,0.02,3e-4
2018-08-08,TN-S1,0.5,0.3595
2018-08-08,TX-05,0.1,9e-4
2018-08-08,TX-06,0.15,0.0684
2018-08-08,TX-21,0.27,0.1514
2018-08-08,TX-23,0.69,0.7123
2018-08-08,TX-29,0.96,0.9998
2018-08-08,TX-S1,0.27,0.2543
2018-08-08,VA-02,0.63,0.2144
2018-08-08,VA-06,0.1,0.0037
2018-08-08,VA-10,0.83,0.7406
2018-08-08,VA-S1,0.94,0.9918
2018-08-08,VT-S1,0.97,0.9999
2018-08-08,WA-08,0.66,0.4836
2018-08-08,WI-01,0.48,0.2587
2018-08-08,WI-S1,0.83,0.9766
2018-08-08,WV-03,0.68,0.0614
2018-08-08,WV-S1,0.74,0.8546
2018-08-09,AZ-S1,0.61,0.728
2018-08-09,CA-10,0.64,0.6882
2018-08-09,CA-12,0.9,1
2018-08-09,CA-22,0.33999999999999997,0.0397
2018-08-09,CA-25,0.64,0.7355
2018-08-09,CA-39,0.58,0.4658
2018-08-09,CA-48,0.68,0.6467
2018-08-09,CA-49,0.71,0.8018
2018-08-09,CA-S1,0.86,1
2018-08-09,CO-05,0.06999999999999995,0.0228
2018-08-09,CO-06,0.6,0.6309
2018-08-09,CT-05,0.96,0.9677
2018-08-09,FL-15,0.33,0.2602
2018-08-09,FL-17,0.1,0.003
2018-08-09,FL-26,0.5900000000000001,0.3777
2018-08-09,FL-27,0.94,0.9744
2018-08-09,FL-S1,0.52,0.6133
2018-08-09,IL-12,0.57,0.3808
2018-08-09,IN-S1,0.45,0.8635
2018-08-09,MA-S1,0.97,0.9989
2018-08-09,MD-06,0.93,0.9911
2018-08-09,ME-S1,0.030000000000000027,0
2018-08-09,MI-08,0.55,0.4203
2018-08-09,MI-11,0.64,0.6704
2018-08-09,MI-S1,0.76,0.9861
2018-08-09,MN-01,0.5,0.4799
2018-08-09,MN-02,0.85,0.7471
2018-08-09,MN-03,0.55,0.636
2018-08-09,MN-08,0.55,0.3836
2018-08-09,MN-S1,0.81,0.9982
2018-08-09,MO-S1,0.51,0.7377
2018-08-09,MS-03,0.1,0.0062
2018-08-09,MS-S2,0.1,0.138
2018-08-09,MT-S1,0.72,0.892
2018-08-09,NC-09,0.75,0.5946
2018-08-09,NC-13,0.55,0.3835
2018-08-09,ND-S1,0.44,0.595
2018-08-09,NE-02,0.44999999999999996,0.5692
2018-08-09,NE-S1,0.08999999999999997,0.042
2018-08-09,NH-01,0.82,0.8063
2018-08-09,NJ-02,0.94,0.887
2018-08-09,NJ-07,0.64,0.6134
2018-08-09,NJ-11,0.79,0.7188
2018-08-09,NJ-S1,0.75,0.9442
2018-08-09,NM-S1,0.91,0.9682
2018-08-09,NV-03,0.89,0.6817
2018-08-09,NV-04,0.89,0.845
2018-08-09,NV-S1,0.64,0.5331
2018-08-09,NY-01,0.3,0.1036
2018-08-09,NY-09,0.98,1
2018-08-09,NY-14,0.95,1
2018-08-09,NY-19,0.62,0.53
2018-08-09,NY-27,0.5900000000000001,0.1863
2018-08-09,OH-S1,0.86,0.9493
2018-08-09,PA-06,0.96,0.9811
2018-08-09,PA-09,0.03,0.0092
2018-08-09,PA-15,0.14,1e-4
2018-08-09,PA-17,0.88,0.9723
2018-08-09,PA-S1,0.84,0.9524
2018-08-09,PA-S1,0.87,0.9524
2018-08-09,SC-04,0.02,1e-4
2018-08-09,TN-S1,0.46,0.3651
2018-08-09,TX-05,0.1,6e-4
2018-08-09,TX-06,0.06,0.0707
2018-08-09,TX-21,0.12,0.1571
2018-08-09,TX-23,0.69,0.7155
2018-08-09,TX-29,0.96,0.9998
2018-08-09,TX-S1,0.26,0.2543
2018-08-09,VA-02,0.63,0.214
2018-08-09,VA-06,0.1,0.0038
2018-08-09,VA-10,0.83,0.7418
2018-08-09,VA-S1,0.94,0.9926
2018-08-09,VT-S1,0.97,0.9999
2018-08-09,WA-08,0.66,0.4925
2018-08-09,WI-01,0.48,0.2641
2018-08-09,WI-S1,0.83,0.9789
2018-08-09,WV-03,0.68,0.062
2018-08-09,WV-S1,0.75,0.8637
2018-08-10,AZ-S1,0.61,0.7285
2018-08-10,CA-10,0.64,0.6853
2018-08-10,CA-12,0.9,1
2018-08-10,CA-22,0.35,0.0396
2018-08-10,CA-25,0.64,0.7368
2018-08-10,CA-39,0.61,0.471
2018-08-10,CA-48,0.68,0.6527
2018-08-10,CA-49,0.72,0.8034
