date,race,method,prob,winner,correct
2018-08-02,CO-06,model,0.6402,TRUE,TRUE
2018-08-02,CO-06,market,0.5800000000000001,TRUE,TRUE
2018-08-02,CT-05,model,0.9639,TRUE,TRUE
2018-08-02,CT-05,market,0.9,TRUE,TRUE
2018-08-02,FL-15,model,0.263,FALSE,TRUE
2018-08-02,FL-15,market,0.23,FALSE,TRUE
2018-08-02,FL-17,model,0.0031,FALSE,TRUE
2018-08-02,FL-17,market,0.1,FALSE,TRUE
2018-08-02,FL-26,model,0.3988,TRUE,FALSE
2018-08-02,FL-26,market,0.56,TRUE,TRUE
2018-08-02,FL-27,model,0.9725,TRUE,TRUE
2018-08-02,FL-27,market,0.91,TRUE,TRUE
2018-08-02,FL-S1,model,0.6088,FALSE,FALSE
2018-08-02,FL-S1,market,0.52,FALSE,FALSE
2018-08-02,IL-12,model,0.3939,FALSE,TRUE
2018-08-02,IL-12,market,0.42,FALSE,TRUE
2018-08-02,IN-S1,model,0.7626,FALSE,FALSE
2018-08-02,IN-S1,market,0.39,FALSE,TRUE
2018-08-02,MA-S1,model,0.9984,TRUE,TRUE
2018-08-02,MA-S1,market,0.95,TRUE,TRUE
2018-08-02,MD-06,model,0.9898,TRUE,TRUE
2018-08-02,MD-06,market,0.93,TRUE,TRUE
2018-08-02,ME-S1,model,0,TRUE,FALSE
2018-08-02,ME-S1,market,0.030000000000000027,TRUE,FALSE
2018-08-02,MI-08,model,0.434,TRUE,FALSE
2018-08-02,MI-08,market,0.44,TRUE,FALSE
2018-08-02,MI-11,model,0.673,TRUE,TRUE
2018-08-02,MI-11,market,0.62,TRUE,TRUE
2018-08-02,MI-S1,model,0.9847,TRUE,TRUE
2018-08-02,MI-S1,market,0.84,TRUE,TRUE
2018-08-02,MN-01,model,0.4843,FALSE,TRUE
2018-08-02,MN-01,market,0.56,FALSE,FALSE
2018-08-02,MN-02,model,0.7579,TRUE,TRUE
2018-08-02,MN-02,market,0.14,TRUE,FALSE
2018-08-02,MN-03,model,0.6472,TRUE,TRUE
2018-08-02,MN-03,market,0.54,TRUE,TRUE
2018-08-02,MN-08,model,0.3874,FALSE,TRUE
2018-08-02,MN-08,market,0.46,FALSE,TRUE
2018-08-02,MN-S1,model,0.9983,TRUE,TRUE
2018-08-02,MN-S1,market,0.81,TRUE,TRUE
2018-08-02,MO-S1,model,0.6821,FALSE,FALSE
2018-08-02,MO-S1,market,0.53,FALSE,FALSE
2018-08-02,MS-03,model,0.0059,FALSE,TRUE
2018-08-02,MS-03,market,0.12,FALSE,TRUE
2018-08-02,MS-S2,model,0.0937,FALSE,TRUE
2018-08-02,MS-S2,market,0.13,FALSE,TRUE
2018-08-02,MT-S1,model,0.8867,TRUE,TRUE
2018-08-02,MT-S1,market,0.65,TRUE,TRUE
2018-08-02,NC-09,model,0.5988,NA,NA
2018-08-02,NC-09,market,0.9,NA,NA
2018-08-02,NC-13,model,0.3922,FALSE,TRUE
2018-08-02,NC-13,market,0.55,FALSE,FALSE
2018-08-02,ND-S1,model,0.5849,FALSE,FALSE
2018-08-02,ND-S1,market,0.45,FALSE,TRUE
2018-08-02,NE-02,model,0.5816,FALSE,FALSE
2018-08-02,NE-02,market,0.44999999999999996,FALSE,TRUE
2018-08-02,NE-S1,model,0.0454,FALSE,TRUE
2018-08-02,NE-S1,market,0.08999999999999997,FALSE,TRUE
2018-08-02,NH-01,model,0.8043,TRUE,TRUE
2018-08-02,NH-01,market,0.82,TRUE,TRUE
2018-08-02,NJ-02,model,0.8867,TRUE,TRUE
2018-08-02,NJ-02,market,0.94,TRUE,TRUE
2018-08-02,NJ-07,model,0.6224,TRUE,TRUE
2018-08-02,NJ-07,market,0.65,TRUE,TRUE
2018-08-02,NJ-11,model,0.7252,TRUE,TRUE
2018-08-02,NJ-11,market,0.77,TRUE,TRUE
2018-08-02,NJ-S1,model,0.9435,TRUE,TRUE
2018-08-02,NJ-S1,market,0.73,TRUE,TRUE
2018-08-02,NM-S1,model,0.9715,TRUE,TRUE
2018-08-02,NM-S1,market,0.85,TRUE,TRUE
2018-08-02,NV-03,model,0.681,TRUE,TRUE
2018-08-02,NV-03,market,0.89,TRUE,TRUE
