date,mid,race,party,open,low,high,close,vol
2018-02-14,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-15,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-16,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-17,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-18,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-19,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-20,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-21,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-22,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-23,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-24,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-25,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-26,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-27,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-02-28,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-01,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-02,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-03,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-04,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-05,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-06,4015,MD-06,R,0.09,0.09,0.09,0.09,1
2018-03-07,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-08,4015,MD-06,R,0.09,0.09,0.09,0.09,1
2018-03-09,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-10,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-11,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-12,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-13,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-14,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-15,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-16,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-17,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-18,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-19,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-20,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-21,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-22,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-23,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-24,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-25,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-26,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-27,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-28,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-29,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-30,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-03-31,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-01,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-02,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-03,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-04,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-05,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-06,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-07,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-08,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-09,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-10,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-11,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-12,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-13,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-14,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-15,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-16,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-17,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-18,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-19,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-20,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-21,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-22,4015,MD-06,R,0.09,0.09,0.09,0.09,2
2018-04-23,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-24,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-25,4015,MD-06,R,0.09,0.09,0.09,0.09,0
2018-04-26,4015,MD-06,R,0.09,0.09,0.23,0.18,119
2018-04-27,4015,MD-06,R,0.18,0.18,0.19,0.18,39
2018-04-28,4015,MD-06,R,0.18,0.18,0.18,0.18,0
2018-04-29,4015,MD-06,R,0.18,0.14,0.18,0.14,110
2018-04-30,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-01,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-02,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-03,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-04,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-05,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-06,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-07,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-08,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-09,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-10,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-11,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-12,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-13,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-14,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-15,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-16,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-17,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-18,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-19,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-20,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-21,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-22,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-23,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-24,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-25,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-26,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-27,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-28,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-29,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-30,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-05-31,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-06-01,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-06-02,4015,MD-06,R,0.14,0.14,0.14,0.14,0
2018-06-03,4015,MD-06,R,0.14,0.12,0.14,0.12,1
2018-06-04,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-05,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-06,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-07,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-08,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-09,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-10,4015,MD-06,R,0.12,0.12,0.12,0.12,0
2018-06-11,4015,MD-06,R,0.12,0.12,0.12,0.12,1
