date,race,method,prob,pred,winner,hit,brier
2018-08-02,MN-03,model,0.6472,TRUE,TRUE,TRUE,0.1245
2018-08-02,MN-08,market,0.46,FALSE,FALSE,TRUE,0.2116
2018-08-02,MN-08,model,0.3874,FALSE,FALSE,TRUE,0.1501
2018-08-02,MN-S1,market,0.81,TRUE,TRUE,TRUE,0.0361
2018-08-02,MN-S1,model,0.9983,TRUE,TRUE,TRUE,0
2018-08-02,MO-S1,market,0.47,FALSE,FALSE,TRUE,0.2209
2018-08-02,MO-S1,model,0.6821,TRUE,FALSE,FALSE,0.4653
2018-08-02,MS-03,market,0.12,FALSE,FALSE,TRUE,0.0144
2018-08-02,MS-03,model,0.0059,FALSE,FALSE,TRUE,0
2018-08-02,MS-S1,market,0.13,FALSE,FALSE,TRUE,0.0169
2018-08-02,MS-S1,model,0.0116,FALSE,FALSE,TRUE,1e-4
2018-08-02,MT-S1,market,0.65,TRUE,TRUE,TRUE,0.1225
2018-08-02,MT-S1,model,0.8867,TRUE,TRUE,TRUE,0.0128
2018-08-02,NC-13,market,0.55,TRUE,FALSE,FALSE,0.3025
2018-08-02,NC-13,model,0.3922,FALSE,FALSE,TRUE,0.1538
2018-08-02,ND-S1,market,0.45,FALSE,FALSE,TRUE,0.2025
2018-08-02,ND-S1,model,0.5849,TRUE,FALSE,FALSE,0.3421
2018-08-02,NE-02,market,0.44999999999999996,FALSE,FALSE,TRUE,0.2025
2018-08-02,NE-02,model,0.5816,TRUE,FALSE,FALSE,0.3383
2018-08-02,NE-S1,market,0.08999999999999997,FALSE,FALSE,TRUE,0.0081
2018-08-02,NE-S1,model,0.0454,FALSE,FALSE,TRUE,0.0021
2018-08-02,NH-01,market,0.82,TRUE,TRUE,TRUE,0.0324
2018-08-02,NH-01,model,0.8043,TRUE,TRUE,TRUE,0.0383
2018-08-02,NJ-02,market,0.91,TRUE,TRUE,TRUE,0.0081
2018-08-02,NJ-02,model,0.8867,TRUE,TRUE,TRUE,0.0128
2018-08-02,NJ-07,market,0.65,TRUE,TRUE,TRUE,0.1225
2018-08-02,NJ-07,model,0.6224,TRUE,TRUE,TRUE,0.1426
2018-08-02,NJ-11,market,0.77,TRUE,TRUE,TRUE,0.0529
2018-08-02,NJ-11,model,0.7252,TRUE,TRUE,TRUE,0.0755
2018-08-02,NJ-S1,market,0.73,TRUE,TRUE,TRUE,0.0729
2018-08-02,NJ-S1,model,0.9435,TRUE,TRUE,TRUE,0.0032
2018-08-02,NM-S1,market,0.85,TRUE,TRUE,TRUE,0.0225
2018-08-02,NM-S1,model,0.9715,TRUE,TRUE,TRUE,8e-4
2018-08-02,NV-03,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-02,NV-03,model,0.681,TRUE,TRUE,TRUE,0.1018
2018-08-02,NV-04,market,0.73,TRUE,TRUE,TRUE,0.0729
2018-08-02,NV-04,model,0.8451,TRUE,TRUE,TRUE,0.024
2018-08-02,NV-S1,market,0.63,TRUE,TRUE,TRUE,0.1369
2018-08-02,NV-S1,model,0.5442,TRUE,TRUE,TRUE,0.2078
2018-08-02,NY-01,market,0.39,FALSE,FALSE,TRUE,0.1521
2018-08-02,NY-01,model,0.1108,FALSE,FALSE,TRUE,0.0123
2018-08-02,NY-09,market,0.98,TRUE,TRUE,TRUE,4e-4
2018-08-02,NY-09,model,1,TRUE,TRUE,TRUE,0
2018-08-02,NY-14,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-02,NY-14,model,1,TRUE,TRUE,TRUE,0
2018-08-02,NY-19,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-02,NY-19,model,0.5394,TRUE,TRUE,TRUE,0.2122
2018-08-02,OH-S1,market,0.84,TRUE,TRUE,TRUE,0.0256
2018-08-02,OH-S1,model,0.9503,TRUE,TRUE,TRUE,0.0025
2018-08-02,PA-06,market,0.96,TRUE,TRUE,TRUE,0.0016
2018-08-02,PA-06,model,0.9807,TRUE,TRUE,TRUE,4e-4
2018-08-02,PA-09,market,0.03,FALSE,FALSE,TRUE,9e-4
2018-08-02,PA-09,model,0.0086,FALSE,FALSE,TRUE,1e-4
2018-08-02,PA-15,market,0.06999999999999995,FALSE,FALSE,TRUE,0.0049
2018-08-02,PA-15,model,0,FALSE,FALSE,TRUE,0
2018-08-02,PA-17,market,0.94,TRUE,TRUE,TRUE,0.0036
2018-08-02,PA-17,model,0.9736,TRUE,TRUE,TRUE,7e-4
2018-08-02,PA-S1,market,0.87,TRUE,TRUE,TRUE,0.0169
2018-08-02,PA-S1,model,0.9504,TRUE,TRUE,TRUE,0.0025
2018-08-02,SC-04,market,0.05,FALSE,FALSE,TRUE,0.0025
2018-08-02,SC-04,model,4e-4,FALSE,FALSE,TRUE,0
2018-08-02,TN-S1,market,0.51,TRUE,FALSE,FALSE,0.2601
2018-08-02,TN-S1,model,0.3676,FALSE,FALSE,TRUE,0.1351
2018-08-02,TX-05,market,0.10999999999999999,FALSE,FALSE,TRUE,0.0121
