date,race,method,prob,hit,score
2018-08-04,CA-48,model,0.6579,TRUE,0.11703240999999998
2018-08-04,CA-49,model,0.791,TRUE,0.043680999999999984
2018-08-04,CA-S1,model,1,TRUE,0
2018-08-04,CO-05,model,0.024,TRUE,5.76e-4
2018-08-04,CO-06,model,0.6421,TRUE,0.12809241
2018-08-04,CT-05,model,0.9675,TRUE,0.0010562499999999982
2018-08-04,FL-15,model,0.2648,TRUE,0.07011904
2018-08-04,FL-17,model,0.0031,TRUE,9.61e-6
2018-08-04,FL-26,model,0.3997,FALSE,0.3603600900000001
2018-08-04,FL-27,model,0.973,TRUE,7.290000000000013e-4
2018-08-04,FL-S1,model,0.6095,FALSE,0.3714902500000001
2018-08-04,IL-12,model,0.3926,TRUE,0.15413476
2018-08-04,IN-S1,model,0.7633,FALSE,0.58262689
2018-08-04,MA-S1,model,0.9989,TRUE,1.2099999999999778e-6
2018-08-04,MD-06,model,0.9892,TRUE,1.1664000000000069e-4
2018-08-04,ME-S1,model,0.9974,TRUE,6.760000000000243e-6
2018-08-04,MI-08,model,0.4319,FALSE,0.32273761000000006
2018-08-04,MI-11,model,0.6685,TRUE,0.10989225000000001
2018-08-04,MI-S1,model,0.986,TRUE,1.9600000000000035e-4
2018-08-04,MN-01,model,0.4838,TRUE,0.23406244
2018-08-04,MN-02,model,0.76,TRUE,0.0576
2018-08-04,MN-03,model,0.6493,TRUE,0.12299049000000001
2018-08-04,MN-08,model,0.3816,TRUE,0.14561856
2018-08-04,MN-S1,model,0.9983,TRUE,2.8900000000001184e-6
2018-08-04,MO-S1,model,0.6792,FALSE,0.46131264000000005
2018-08-04,MS-03,model,0.0054,TRUE,2.9160000000000002e-5
2018-08-04,MS-S1,model,0.0123,TRUE,1.5129e-4
2018-08-04,MT-S1,model,0.8859,TRUE,0.013018809999999995
2018-08-04,NC-13,model,0.3931,TRUE,0.15452761
2018-08-04,ND-S1,model,0.5795,FALSE,0.33582025000000004
2018-08-04,NE-02,model,0.5809,FALSE,0.33744481
2018-08-04,NE-S1,model,0.0456,TRUE,0.00207936
2018-08-04,NH-01,model,0.8017,TRUE,0.03932289000000001
2018-08-04,NJ-02,model,0.8876,TRUE,0.012633760000000013
2018-08-04,NJ-07,model,0.6251,TRUE,0.14055001
2018-08-04,NJ-11,model,0.7252,TRUE,0.07551504000000002
2018-08-04,NJ-S1,model,0.9426,TRUE,0.0032947600000000007
2018-08-04,NM-S1,model,0.9713,TRUE,8.23689999999997e-4
2018-08-04,NV-03,model,0.6864,TRUE,0.09834496
2018-08-04,NV-04,model,0.8452,TRUE,0.023963040000000015
2018-08-04,NV-S1,model,0.5464,TRUE,0.20575296
2018-08-04,NY-01,model,0.113,TRUE,0.012769
2018-08-04,NY-09,model,1,TRUE,0
2018-08-04,NY-14,model,1,TRUE,0
2018-08-04,NY-19,model,0.5423,TRUE,0.20948929
2018-08-04,OH-S1,model,0.9508,TRUE,0.002420640000000002
